samples,group
CPT0184040004,Tumor
CPT0184060003,Normal
CPT0129910003,Tumor
CPT0129940003,Normal
CPT0193870003,Tumor
CPT0193900003,Normal
CPT0214290003,Tumor
CPT0214330003,Normal
CPT0105780003,Tumor
CPT0105790003,Normal
CPT0178980003,Tumor
CPT0178990003,Normal
CPT0117680003,Tumor
CPT0117700003,Normal
CPT0128290003,Tumor
CPT0128300003,Normal
CPT0183940004,Tumor
CPT0183960003,Normal
CPT0118510003,Tumor
CPT0118530003,Normal
CPT0178430003,Tumor
CPT0178450003,Normal
CPT0128330003,Tumor
CPT0128340003,Normal
CPT0215210003,Tumor
CPT0215230003,Normal
CPT0125410004,Tumor
CPT0125430003,Normal
CPT0192240003,Tumor
CPT0192250003,Normal
CPT0214650003,Tumor
CPT0214690003,Normal
CPT0115070003,Tumor
CPT0213600003,Tumor
CPT0213610003,Normal
CPT0130170009,Tumor
CPT0130200003,Normal
CPT0178620003,Tumor
CPT0178630003,Normal
CPT0216660003,Tumor
CPT0216670003,Normal
CPT0117790003,Tumor
CPT0117820003,Normal
CPT0185090003,Tumor
CPT0185110003,Normal
CPT0125360003,Tumor
CPT0125370003,Normal
CPT0174510003,Tumor
CPT0174580004,Normal
CPT0105060003,Tumor
CPT0158800003,Tumor
CPT0158830003,Normal
CPT0117850003,Tumor
CPT0117890003,Normal
CPT0184600004,Tumor
CPT0184620003,Normal
CPT0187010003,Tumor
CPT0187030003,Normal
CPT0175660003,Tumor
CPT0175710003,Normal
CPT0118040003,Tumor
CPT0118060003,Normal
CPT0128420003,Tumor
CPT0128430003,Normal
CPT0118400003,Tumor
CPT0118410003,Normal
CPT0112060003,Tumor
CPT0185230003,Tumor
CPT0185250003,Normal
CPT0187140003,Tumor
CPT0187150003,Normal
CPT0118700003,Tumor
CPT0118710003,Normal
CPT0180730003,Tumor
CPT0180740003,Normal
CPT0066910003,Tumor
CPT0179140003,Tumor
CPT0179170003,Normal
CPT0196880003,Tumor
CPT0196900003,Normal
CPT0118740003,Tumor
CPT0118770003,Normal
CPT0117930003,Tumor
CPT0117940003,Normal
CPT0214850003,Tumor
CPT0214870003,Normal
CPT0184350004,Tumor
CPT0184340003,Normal
CPT0189280004,Tumor
CPT0189310004,Normal
CPT0192380003,Tumor
CPT0192430003,Normal
CPT0105230003,Tumor
CPT0130600003,Tumor
CPT0130570003,Normal
CPT0118460003,Tumor
CPT0118470003,Normal
CPT0213400003,Tumor
CPT0213430003,Normal
CPT0178800003,Tumor
CPT0178810003,Normal
CPT0104750003,Tumor
CPT0118290003,Tumor
CPT0118310003,Normal
CPT0184740004,Tumor
CPT0184760003,Normal
CPT0215400003,Tumor
CPT0215410003,Normal
CPT0129030003,Tumor
CPT0129790003,Normal
CPT0109740004,Tumor
CPT0236060003,Tumor
CPT0236080003,Normal
CPT0235090003,Tumor
CPT0235100003,Normal
CPT0221310003,Tumor
CPT0221380003,Normal
CPT0241040003,Tumor
CPT0241050003,Normal
CPT0231560003,Tumor
CPT0231570003,Normal
CPT0196950003,Tumor
CPT0196960003,Normal
CPT0216480003,Tumor
CPT0216490003,Normal
CPT0246030003,Tumor
CPT0246040003,Normal
CPT0255050003,Tumor
CPT0255080003,Normal
CPT0185020004,Tumor
CPT0185040003,Normal
CPT0231920003,Tumor
CPT0231930003,Normal
CPT0249450003,Tumor
CPT0249490003,Normal
CPT0251530003,Tumor
CPT0255870003,Normal
CPT0247800003,Tumor
CPT0247810003,Normal
CPT0215930003,Tumor
CPT0215950003,Normal
CPT0218490003,Tumor
CPT0218500003,Normal
CPT0243560004,Tumor
CPT0243620003,Normal
CPT0219780003,Tumor
CPT0219930003,Normal
CPT0187430003,Tumor
CPT0187440003,Normal
CPT0185170003,Tumor
CPT0185180003,Normal
CPT0210240003,Tumor
CPT0210250003,Normal
CPT0197030003,Tumor
CPT0197040003,Normal
CPT0229540004,Tumor
CPT0229570003,Normal
CPT0209100003,Tumor
CPT0209110003,Normal
CPT0210110003,Tumor
CPT0210140004,Normal
CPT0161890003,Tumor
CPT0161900003,Normal
CPT0215730003,Tumor
CPT0215770003,Normal
CPT0196990003,Tumor
CPT0197000003,Normal
CPT0209620003,Tumor
CPT0209910003,Normal
CPT0251180003,Tumor
CPT0251200003,Normal
CPT0240670003,Tumor
CPT0240680003,Normal
CPT0254880004,Tumor
CPT0254910004,Normal
CPT0191570003,Tumor
CPT0191600003,Normal
CPT0216290003,Tumor
CPT0216310003,Normal
CPT0242670004,Tumor
CPT0242720003,Normal
CPT0209240003,Tumor
CPT0209250003,Normal
CPT0247390003,Tumor
CPT0247400003,Normal
CPT0225570003,Tumor
CPT0225640003,Normal
CPT0190070003,Tumor
CPT0190090004,Normal
CPT0223260003,Tumor
CPT0223280003,Normal
CPT0189950003,Tumor
CPT0189960003,Normal
CPT0247190003,Tumor
CPT0247200003,Normal
CPT0234740003,Tumor
CPT0234750003,Normal
CPT0185620004,Tumor
CPT0185650003,Normal
CPT0209170003,Tumor
CPT0209180003,Normal
CPT0190010003,Tumor
CPT0190020003,Normal
CPT0246080003,Tumor
CPT0246090003,Normal
CPT0204430004,Tumor
CPT0204490003,Normal
CPT0169040003,Tumor
CPT0169050003,Normal
CPT0234700003,Tumor
CPT0234710003,Normal
CPT0223610003,Tumor
CPT0223640003,Normal
CPT0184670004,Tumor
CPT0184690003,Normal
CPT0215210003,Tumor
CPT0229360004,Tumor
CPT0229390004,Normal
CPT0231350004,Tumor
CPT0231410003,Normal
CPT0213230003,Tumor
CPT0213250003,Normal
CPT0225190004,Tumor
CPT0225280004,Normal
CPT0214290003,Tumor
CPT0216820003,Tumor
CPT0216830003,Normal
CPT0240910003,Tumor
CPT0240920004,Normal
CPT0232060004,Tumor
CPT0232110004,Normal
CPT0236210003,Tumor
CPT0236220003,Normal
CPT0205140003,Tumor
CPT0205180004,Normal
